North Sea Kraken, 86
Power Word: Shield, 84
Dark Cultist, 80
Piloted Shredder, 80
Temple Enforcer, 80
Dark Iron Dwarf, 76
Holy Nova, 76↑
Shadow Word: Death, 76↑
Velen's Chosen, 76↑
Zombie Chow, 76
Shrinkmeister, 72
Entomb, 70
Flame Juggler, 70
Mechanical Yeti, 70
Mind Control, 70↑
Museum Curator, 70
Northshire Cleric, 70↑
Shadow Word: Pain, 70
Silver Hand Knight, 70
Spider Tank, 70
Stormwind Champion, 70
Stranglethorn Tiger, 70
Boulderfist Ogre, 68
Chillwind Yeti, 68
Earthen Ring Farseer, 68
Frost Elemental, 68
Gilblin Stalker, 68
Harvest Golem, 68
Haunted Creeper, 68
Holy Champion, 68
Pit Fighter, 68
Sen'jin Shieldmasta, 68
Shattered Sun Cleric, 68
Argent Horserider, 66
Evil Heckler, 66
Mad Bomber, 66
Ogre Brute, 66
Spellbreaker, 66
Darkscale Healer, 64
Drakonid Crusher, 64
Lightspawn, 64
Scarlet Crusader, 64
Worgen Infiltrator, 64
Kvaldir Raider, 62
Loot Hoarder, 62
Tomb Spider, 62
Acolyte of Pain, 60
Amani Berserker, 60
Clockwork Knight, 60
Cult Master, 60
Fen Creeper, 60
Force-Tank MAX, 60
Gnomish Inventor, 60
Holy Smite, 60
Hungry Dragon, 60
Silent Knight, 60
Thoughtsteal, 60↑
Abusive Sergeant, 58
Captured Jormungar, 58
Frostwolf Warlord, 58
Acidic Swamp Ooze, 56
Argent Squire, 56
Boneguard Lieutenant, 56
Burly Rockjaw Trogg, 56
Dire Wolf Alpha, 56
Dragonkin Sorcerer, 56
Huge Toad, 56
Jeweled Scarab, 56
Jungle Panther, 56
Mechwarper, 56
Silver Hand Regent, 56
Spectral Knight, 56
Stonesplinter Trogg, 56
Stormpike Commando, 56
Stormwind Knight, 56
Annoy-o-Tron, 54
Anubisath Sentinel, 54
Faerie Dragon, 54
Lost Tallstrider, 54
Raging Worgen, 54
Venture Co. Mercenary, 54
Bloodsail Raider, 52
Novice Engineer, 52
Razorfen Hunter, 52
River Crocolisk, 52
Ship's Cannon, 52
Spiteful Smith, 52
Archmage, 50
Bloodfen Raptor, 50
Elven Archer, 50
Lord of the Arena, 50
Maiden of the Lake, 50
Micro Machine, 50
Puddlestomper, 50
Refreshment Vendor, 50
Volcanic Drake, 50
War Golem, 50
Dragonhawk Rider, 48
Flesheating Ghoul, 48
Frigid Snobold, 48
Ironfur Grizzly, 48
Lance Carrier, 48
Silvermoon Guardian, 48
Youthful Brewmaster, 48
Ancient Brewmaster, 46
Bluegill Warrior, 46
Clockwork Gnome, 46
Fossilized Devilsaur, 46
Ogre Magi, 46
Wolfrider, 46
Blackwing Corruptor, 44
Blackwing Technician, 44
Gadgetzan Jouster, 44
Gurubashi Berserker, 44
Mind Vision, 44
Mukla's Champion, 44
Reckless Rocketeer, 44
Tinkertown Technician, 44
Unstable Ghoul, 44
Dragonling Mechanic, 42
Ice Rager, 42
Oasis Snapjaw, 42
Voodoo Doctor, 42
Circle of Healing, 40
Divine Spirit, 40
Gorillabot A-3, 40
Ironbeak Owl, 40
Ironforge Rifleman, 40
Murloc Tidehunter, 40
Salty Dog, 40
Silence, 40↓
Booty Bay Bodyguard, 38
Mogu'shan Warden, 38
Nerub'ar Weblord, 38
Antique Healbot, 36
Leper Gnome, 36
Nightblade, 36
