North Sea Kraken, 86
Undercity Valiant, 86
Backstab, 84
Eviscerate, 80
Goblin Auto-Barber, 80
Piloted Shredder, 80
Zombie Chow, 80
Assassinate, 78
Shado-Pan Rider, 78
Buccaneer, 76
Dark Iron Dwarf, 76
Sap, 76↑
Defias Ringleader, 74
Mechanical Yeti, 74
Haunted Creeper, 72
Sen'jin Shieldmasta, 72
Silver Hand Knight, 72
Stormwind Champion, 72
Argent Horserider, 70
Deadly Poison, 70
Evil Heckler, 70
Flame Juggler, 70
Harvest Golem, 70
Spider Tank, 70
Boulderfist Ogre, 68
Chillwind Yeti, 68
Earthen Ring Farseer, 68
Fan of Knives, 68↑
Frost Elemental, 68
Mad Bomber, 68
Pit Fighter, 68
Scarlet Crusader, 68
Shattered Sun Cleric, 68
Abusive Sergeant, 66
Bloodsail Raider, 66
Loot Hoarder, 66
Ogre Brute, 66
Stranglethorn Tiger, 66
Argent Squire, 64
Drakonid Crusher, 64
Fen Creeper, 64
Gilblin Stalker, 64
Pit Snake, 64
Spellbreaker, 64
Spiteful Smith, 64
Tomb Pillager, 64
Worgen Infiltrator, 64
Annoy-o-Tron, 62
Betrayal, 62↑
Boneguard Lieutenant, 62
Clockwork Knight, 62
Cult Master, 62
Darkscale Healer, 62
Hungry Dragon, 62
Kvaldir Raider, 62
Spectral Knight, 62
Tomb Spider, 62
Acolyte of Pain, 60
Amani Berserker, 60
Anub'ar Ambusher, 60
Force-Tank MAX, 60
Frostwolf Warlord, 60
Gnomish Inventor, 60
Lowly Squire, 60
Silver Hand Regent, 60
Acidic Swamp Ooze, 58
Captured Jormungar, 58
Dire Wolf Alpha, 58
Huge Toad, 58
Ship's Cannon, 58
Silent Knight, 58
Southsea Deckhand, 58
Burly Rockjaw Trogg, 56
Clockwork Gnome, 56
Elven Archer, 56
Faerie Dragon, 56
Mechwarper, 56
Razorfen Hunter, 56
Shiv, 56
Sprint, 56↑
Stonesplinter Trogg, 56
Stormpike Commando, 56
Stormwind Knight, 56
Tinker's Sharpsword Oil, 56
Anubisath Sentinel, 54
Lord of the Arena, 54
Lost Tallstrider, 54
Raging Worgen, 54
Refreshment Vendor, 54
Venture Co. Mercenary, 54
Antique Healbot, 52
Archmage, 52
Bloodfen Raptor, 52
Dragonhawk Rider, 52
Ironfur Grizzly, 52
Jeweled Scarab, 52
Jungle Panther, 52
Micro Machine, 52
Novice Engineer, 52
Puddlestomper, 52
River Crocolisk, 52
Assassin's Blade, 50↓
Bluegill Warrior, 50
Dragonkin Sorcerer, 50
Dread Corsair, 50
Flesheating Ghoul, 50
Frigid Snobold, 50
Gadgetzan Jouster, 50
Lance Carrier, 50
Maiden of the Lake, 50
Silvermoon Guardian, 50
Volcanic Drake, 50
War Golem, 50
Wolfrider, 50
Youthful Brewmaster, 50
Ogre Magi, 48
Tinkertown Technician, 48
Ancient Brewmaster, 46
Dragonling Mechanic, 46
Fossilized Devilsaur, 46
Mukla's Champion, 46
Reckless Rocketeer, 46
Voodoo Doctor, 46
Blackwing Corruptor, 44
Blackwing Technician, 44
Gurubashi Berserker, 44
Ice Rager, 44
Leper Gnome, 44
Murloc Tidehunter, 44
Booty Bay Bodyguard, 42
Cold Blood, 42
Ironbeak Owl, 42
Ironforge Rifleman, 42
Mogu'shan Warden, 42
Oasis Snapjaw, 42
Stonetusk Boar, 42
Tournament Attendee, 42
Unstable Ghoul, 42
Gorillabot A-3, 40
Salty Dog, 40
Cogmaster, 38
Murloc Raider, 38
Nerub'ar Weblord, 38
Gnomeregan Infantry, 36
Nightblade, 36
Tournament Medic, 36
Frostwolf Grunt, 34
Kobold Geomancer, 34
Priestess of Elune, 34
Dancing Swords, 32
Goldshire Footman, 32
Raid Leader, 32
Undertaker, 30
Core Hound, 28
Shieldbearer, 28
Tauren Warrior, 28
Explosive Sheep, 26↓
Mad Scientist, 26
Windfury Harpy, 26
Murloc Tinyfin, 22
Silverback Patriarch, 20
Sinister Strike, 20
Wisp, 20
Conceal, 16↓
Dalaran Mage, 16
Magma Rager, 16
Shadowstep, 16↓
Thrallmar Farseer, 14
Young Dragonhawk, 14
Flying Machine, 12
Grimscale Oracle, 12
Vanish, 10↓
Stoneskin Gargoyle, 4
Gang Up, 2
Dark Iron Skulker, 92
SI:7 Agent, 90
Sunwalker, 88
Sludge Belcher, 84
Argent Commander, 80
Azure Drake, 80
Bomb Lobber, 80
Stampeding Kodo, 80
Knife Juggler, 78
